# DeFault:  java -jar default-1.0.0.jar testfiles/incomplete/garland.pddl testfiles/incomplete/garlandprob1.pddl dan.out  pode2 anytime strict 5
domain,problem,plan_id,plan_length,plan_robustness,total_time
satellite.pddl.0p_0a_1d.0,pfile1,1,9,1,0.534
satellite.pddl.0p_0a_1d.0,pfile2,1,20,1,0.321
satellite.pddl.0p_0a_1d.0,pfile3,1,14,1,0.359
satellite.pddl.0p_0a_1d.0,pfile4,1,24,1,0.547
satellite.pddl.0p_0a_1d.0,pfile5,1,21,1,0.918
satellite.pddl.0p_0a_1d.0,pfile6,1,21,1,0.778
satellite.pddl.0p_0a_1d.0,pfile7,1,29,1,1.44
satellite.pddl.0p_0a_1d.0,pfile8,1,30,1,2.203
satellite.pddl.0p_0a_1d.0,pfile9,1,35,1,3.363
satellite.pddl.0p_0a_1d.0,pfile10,1,47,1,5.447
satellite.pddl.0p_0a_2d.0,pfile1,1,8,0.125,0.191
satellite.pddl.0p_0a_2d.0,pfile1,2,44,0.25,3.723
satellite.pddl.0p_0a_2d.0,pfile1,3,33,0.5,5.127
satellite.pddl.0p_0a_2d.0,pfile1,4,35,1,5.713
satellite.pddl.0p_0a_2d.0,pfile2,1,12,0.0625,0.248
satellite.pddl.0p_0a_2d.0,pfile3,1,11,0.0625,0.299
satellite.pddl.0p_0a_2d.0,pfile4,1,20,0.0078125,0.452
satellite.pddl.0p_0a_2d.0,pfile5,1,15,0.015625,0.53
satellite.pddl.0p_0a_2d.0,pfile6,1,18,0.03125,0.566
satellite.pddl.0p_0a_2d.0,pfile7,1,24,0.000976562,0.99
satellite.pddl.0p_0a_2d.0,pfile8,1,27,0.00390625,1.785
satellite.pddl.0p_0a_2d.0,pfile9,1,26,0.000976562,2.674
satellite.pddl.0p_0a_2d.0,pfile10,1,30,0.000244141,3.449
satellite.pddl.0p_0a_3d.0,pfile1,1,8,0.125,0.19
satellite.pddl.0p_0a_3d.0,pfile1,2,9,0.25,3.422
satellite.pddl.0p_0a_3d.0,pfile1,3,15,0.5,3.648
satellite.pddl.0p_0a_3d.0,pfile2,1,12,0.015625,0.241
