# DeFault:  java -jar default-1.0.0.jar testfiles/incomplete/garland.pddl testfiles/incomplete/garlandprob1.pddl dan.out  pode2 anytime strict 5
domain,problem,plan_id,plan_length,plan_robustness,total_time
freecell.pddl.0p_0a_1d.0,pfile1,1,16,1,2.605
freecell.pddl.0p_0a_1d.0,pfile2,1,21,1,2.826
freecell.pddl.0p_0a_1d.0,pfile3,1,23,1,3.232
freecell.pddl.0p_0a_1d.0,pfile4,1,46,1,6.658
freecell.pddl.0p_0a_1d.0,pfile5,1,59,1,44.973
freecell.pddl.0p_0a_1d.0,pfile6,1,48,1,14.752
freecell.pddl.0p_0a_1d.0,pfile7,1,112,1,89.36
freecell.pddl.0p_0a_1d.0,pfile8,1,78,1,316.891
freecell.pddl.0p_0a_1d.0,pfile9,1,106,1,302.072
freecell.pddl.0p_0a_1d.0,pfile10,1,79,1,84.448
freecell.pddl.0p_0a_2d.0,pfile1,1,14,0.25,2.401
freecell.pddl.0p_0a_2d.0,pfile2,1,24,0.25,5.9
freecell.pddl.0p_0a_2d.0,pfile2,2,45,0.5,437.201
freecell.pddl.0p_0a_2d.0,pfile3,1,25,0.25,9.1
freecell.pddl.0p_0a_2d.0,pfile3,2,47,0.5,98.085
freecell.pddl.0p_0a_2d.0,pfile3,3,40,1,126.71
freecell.pddl.0p_0a_2d.0,pfile4,1,40,1,16.86
freecell.pddl.0p_0a_2d.0,pfile5,1,56,0.015625,70.696
freecell.pddl.0p_0a_3d.0,pfile1,1,14,0.25,2.864
freecell.pddl.0p_0a_3d.0,pfile1,2,22,0.5,10.154
freecell.pddl.0p_0a_3d.0,pfile1,3,25,1,22.782
freecell.pddl.0p_0a_3d.0,pfile2,1,24,0.125,7.521
freecell.pddl.0p_0a_3d.0,pfile2,2,36,0.25,117.039
freecell.pddl.0p_0a_3d.0,pfile2,3,36,0.5,126.941
freecell.pddl.0p_0a_3d.0,pfile2,4,35,1,402.599
freecell.pddl.0p_0a_3d.0,pfile3,1,25,1,12.199
freecell.pddl.0p_0a_3d.0,pfile4,1,40,0.125,22.225
freecell.pddl.0p_0a_3d.0,pfile5,1,56,0.03125,101.061
freecell.pddl.0p_0a_4d.0,pfile1,1,16,0.0625,9.334
freecell.pddl.0p_0a_4d.0,pfile2,1,24,0.0078125,56.442
freecell.pddl.0p_0a_4d.0,pfile2,2,34,0.015625,183.825
freecell.pddl.0p_0a_5d.0,pfile1,1,17,0.015625,5.063
freecell.pddl.0p_0a_5d.0,pfile1,2,16,0.03125,58.164
freecell.pddl.0p_0a_5d.0,pfile2,1,22,0.0625,14.683
